,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender
0,nm0000001,1,8.285714285714286,Fred Astaire,actor,0.92,-0.35391666264735844,0.4705467217153794,1.4065248691896688,6,4,1
1,nm0000002,5,0.4567425884510712,Lauren Bacall,actress,-0.34,0.7722423698975633,-0.23036762816359388,-0.4908827629908581,7,9,0
2,nm0000004,3,16.770664164351853,John Belushi,actor,1.22,0.20916285362510245,1.2301896681855913,1.858288591137413,6,8,1
3,nm0000006,1,4.061317613089509,Ingrid Bergman,actress,0.61,-0.35391666264735844,0.09234376455578794,0.9397023565103326,0,4,0
4,nm0000007,1,4.061317613089509,Humphrey Bogart,actor,0.61,-0.35391666264735844,0.09234376455578794,0.9397023565103326,0,4,1
5,nm0000008,6,4.600062287515774,Marlon Brando,actor,0.66,1.0537821280337938,0.14057664721625893,1.0149963101682902,7,9,1
6,nm0000009,3,3.5906762222222226,Richard Burton,actor,0.56,0.20916285362510245,0.050208051557720006,0.8644084028523754,7,4,1
7,nm0000018,4,1.1286761727591037,Kirk Douglas,actor,0.05,0.4907026117613329,-0.1702105718324604,0.09641007554120976,7,9,1
8,nm0000020,1,0.525,Henry Fonda,actor,-0.28,-0.35391666264735844,-0.22425665968775135,-0.40053001860130916,0,5,1
9,nm0000022,1,51.508254615384615,Clark Gable,actor,1.71,-0.35391666264735844,4.340186302336032,2.5961693369853958,3,8,1
10,nm0000023,1,8.883208138278718,Judy Garland,actress,0.95,-0.35391666264735844,0.5240393170932985,1.451701241384443,6,4,0
11,nm0000024,6,3.1862149373737374,John Gielgud,actor,0.5,1.0537821280337938,0.013997329449746207,0.7740556584628264,7,9,1
12,nm0000027,7,11.268103175325233,Alec Guinness,actor,1.05,1.3353218861700242,0.7375548615428198,1.6022891487003579,4,0,1
13,nm0000030,1,4.268277117647059,Audrey Hepburn,actress,0.63,-0.35391666264735844,0.11087249249063776,0.9698199379735156,0,4,0
14,nm0000032,5,5.79597357764411,Charlton Heston,actor,0.76,0.7722423698975633,0.24764452494613357,1.165584217484205,7,9,1
15,nm0000034,4,5.92324981923559,William Holden,actor,0.77,0.4907026117613329,0.2590393476099217,1.1806430082157964,7,4,1
16,nm0000037,1,0.7419437007874016,Gene Kelly,actor,-0.13,-0.35391666264735844,-0.20483406386320704,-0.17464815762743693,0,5,1
17,nm0000039,1,0.02207030303030303,Deborah Kerr,actress,-1.7,-0.35391666264735844,-0.26928308911137183,-2.5388783024872996,0,2,0
18,nm0000044,1,0.02207030303030303,Burt Lancaster,actor,-1.7,-0.35391666264735844,-0.26928308911137183,-2.5388783024872996,0,2,1
19,nm0000046,1,51.508254615384615,Vivien Leigh,actress,1.71,-0.35391666264735844,4.340186302336032,2.5961693369853958,3,8,0
20,nm0000047,1,0.2459620625,Sophia Loren,actress,-0.6,-0.35391666264735844,-0.24923844556171892,-0.8824113220122366,0,7,0
21,nm0000048,1,4.061317613089509,Peter Lorre,actor,0.61,-0.35391666264735844,0.09234376455578794,0.9397023565103326,0,4,1
22,nm0000051,2,4.4081316625,James Mason,actor,0.64,-0.072376904511128,0.12339342897805487,0.9848787287051072,0,4,1
23,nm0000053,2,2.0725189901785717,Robert Mitchum,actor,0.32,-0.072376904511128,-0.08570995025137014,0.5029974252941798,0,1,1
24,nm0000056,9,7.658830321356422,Paul Newman,actor,0.88,1.8984014024424851,0.4144228802559647,1.3462897062633028,4,0,1
25,nm0000059,3,0.7391807188777406,Laurence Olivier,actor,-0.13,0.20916285362510245,-0.20508142887406974,-0.17464815762743693,7,5,1
26,nm0000060,3,1.9857498476190478,Gregory Peck,actor,0.3,0.20916285362510245,-0.09347824211630622,0.4728798438309968,7,9,1
27,nm0000063,4,1.5975034298669468,Anthony Quinn,actor,0.2,0.4907026117613329,-0.12823727510485083,0.322291936515082,7,9,1
28,nm0000069,1,0.02207030303030303,Frank Sinatra,actor,-1.7,-0.35391666264735844,-0.26928308911137183,-2.5388783024872996,0,2,1
29,nm0000071,3,3.187682134171908,James Stewart,actor,0.5,0.20916285362510245,0.014128685051695017,0.7740556584628264,7,4,1
30,nm0000072,2,2.138177446031746,Elizabeth Taylor,actress,0.33,-0.072376904511128,-0.07983166180201062,0.5180562160257713,0,1,0
31,nm0000075,1,4.929027446808511,Spencer Tracy,actor,0.69,-0.35391666264735844,0.17002833125275943,1.0601726823630644,0,4,1
32,nm0000076,1,6.7594557,François Truffaut,actor,0.83,-0.35391666264735844,0.33390341966753917,1.2709957526053453,0,4,1
33,nm0000079,2,1.6204154142857143,Raquel Welch,actress,0.21,-0.072376904511128,-0.1261860046079947,0.3373507272466734,0,1,0
34,nm0000081,2,0.6031486666666667,Natalie Wood,actress,-0.22,-0.072376904511128,-0.21726014417988163,-0.3101772742117603,0,5,0
35,nm0000084,5,0.3932185482701525,Gong Li,actress,-0.41,0.7722423698975633,-0.23605482605455816,-0.5962942981119984,7,9,0
36,nm0000090,7,1.5697929001406925,Armin Mueller-Stahl,actor,0.2,1.3353218861700242,-0.130718151097118,0.322291936515082,4,0,1
37,nm0000092,21,1.5523376867385317,John Cleese,actor,0.19,5.276878500077251,-0.13228088628468435,0.3072331457834905,1,6,1
