,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
0,nm0000033,1,0.022164166666666665,Alfred Hitchcock,director,-1.7,-0.5204078941289055,-0.22428903340880424,-2.4156363366347926,1
1,nm0000037,2,0.37932353789370077,Gene Kelly,director,-0.42,-0.09836437166407844,-0.1981833749415269,-0.5385197766678018,1
2,nm0000040,5,2.143304845934066,Stanley Kubrick,director,0.33,1.1677661957304029,-0.06924963476789836,0.5613532076878568,0
3,nm0000076,2,0.040709745230923695,François Truffaut,director,-1.4,-0.09836437166407844,-0.22293349137608856,-1.9756871428925291,1
4,nm0000095,22,1.9100978145167011,Woody Allen,director,0.28,8.342506077632464,-0.0862953113056124,0.48802834206414625,3
5,nm0000104,1,0.13372266666666666,Antonio Banderas,director,-0.89,-0.5204078941289055,-0.21613494776878195,-1.2277735135306813,1
6,nm0000106,1,0.8695575333333333,Drew Barrymore,director,-0.06,-0.5204078941289055,-0.16235096430078613,-0.0105807441770857,1
7,nm0000108,8,0.8341134512262427,Luc Besson,director,-0.08,2.4338967631248845,-0.16494165959458448,-0.03991069042656994,5
8,nm0000110,7,1.266158486854257,Kenneth Branagh,director,0.1,2.011853240660057,-0.1333624234014004,0.22405882581878817,5
9,nm0000114,2,0.44254892307692306,Steve Buscemi,director,-0.36,-0.09836437166407844,-0.1935620757540388,-0.45052993791934914,1
10,nm0000115,1,0.00750125,Nicolas Cage,director,-2.0,-0.5204078941289055,-0.22536078211672442,-2.855585530377056,1
11,nm0000116,8,2.93547035057544,James Cameron,director,0.47,2.4338967631248845,-0.011348306174225416,0.7666628314342463,5
12,nm0000118,6,1.6495614819444444,John Carpenter,director,0.22,1.5898097181952302,-0.1053385538028808,0.4000385033156935,5
13,nm0000122,1,0.10905133333333333,Charles Chaplin,director,-0.96,-0.5204078941289055,-0.21793823631114792,-1.330428325403876,1
14,nm0000123,6,1.4546551119897195,George Clooney,director,0.16,1.5898097181952302,-0.11958474062321903,0.31204866456724084,5
15,nm0000126,4,3.1849385651366395,Kevin Costner,director,0.5,0.7457226732655758,0.006885940306280208,0.8106577508084727,0
16,nm0000127,7,1.740736387833595,Wes Craven,director,0.24,2.011853240660057,-0.09867435528066054,0.4293684495651777,5
17,nm0000128,1,0.18651737777777777,Russell Crowe,director,-0.72,-0.5204078941289055,-0.21227605224992646,-0.9784689704100653,1
18,nm0000134,1,0.7494104375,Robert De Niro,director,-0.12,-0.5204078941289055,-0.17113281157217264,-0.09857058292553837,1
19,nm0000142,24,2.2932163169799735,Clint Eastwood,director,0.36,9.186593122562119,-0.0582922359741708,0.6053481270620831,3
20,nm0000146,1,0.0757195,Ralph Fiennes,director,-1.1,-0.5204078941289055,-0.22037454213758834,-1.5357379491502658,1
21,nm0000149,3,0.8137178413580246,Jodie Foster,director,-0.09,0.3236791508007487,-0.16643242497369887,-0.05457566355131204,0
22,nm0000154,4,4.70834039375,Mel Gibson,director,0.67,0.7457226732655758,0.11823513355179673,1.0599622939290887,0
23,nm0000158,2,5.76495395,Tom Hanks,director,0.76,-0.09836437166407844,0.19546562182540242,1.1919470520517677,1
24,nm0000163,1,1.6718288181818182,Dustin Hoffman,director,0.22,-0.5204078941289055,-0.10371097933159697,0.4000385033156935,1
25,nm0000165,14,1.1000723236411207,Ron Howard,director,0.04,4.966157897913847,-0.14550207029932963,0.13606898707033546,7
26,nm0000169,1,0.1518743125,Tommy Lee Jones,director,-0.82,-0.5204078941289055,-0.2148081992500016,-1.1251187016574864,1
27,nm0000180,4,5.80806855,David Lean,director,0.76,0.7457226732655758,0.1986169741717974,1.1919470520517677,0
28,nm0000184,5,40.03242749130628,George Lucas,director,1.6,1.1677661957304029,2.7001596964410566,2.4238047945301053,6
29,nm0000186,3,2.1012755777777774,David Lynch,director,0.32,0.3236791508007487,-0.07232165753562866,0.5466882345631147,0
30,nm0000200,1,0.61349572,Bill Paxton,director,-0.21,-0.5204078941289055,-0.18106715316187166,-0.2305553410482174,1
31,nm0000209,2,1.8346218238636363,Tim Robbins,director,0.26,-0.09836437166407844,-0.09181203743182074,0.458698395814662,1
32,nm0000217,21,2.1765604051902327,Martin Scorsese,director,0.34,7.920462555167637,-0.06681890400169391,0.5760181808125989,3
