,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,kmeans_log,gender,avg_budget,avg_budget_T,cluster
0,0,0,nm0000001,1,8.285714285714286,Fred Astaire,actor,0.92,-0.35391666264735844,0.4705467217153794,1.4065248691896688,6,4,1,82713293.89327167,0.7735734649123712,1
1,1,1,nm0000002,5,0.4567425884510712,Lauren Bacall,actress,-0.34,0.7722423698975633,-0.23036762816359388,-0.4908827629908581,7,9,0,39848631.60721676,-0.1190522732751502,0
2,2,2,nm0000004,3,16.770664164351853,John Belushi,actor,1.22,0.20916285362510245,1.2301896681855913,1.858288591137413,6,8,1,79164621.30941576,0.699674912682771,1
3,3,3,nm0000006,1,4.061317613089509,Ingrid Bergman,actress,0.61,-0.35391666264735844,0.09234376455578794,0.9397023565103326,0,4,0,18846486.58943529,-0.5564068259579905,1
4,4,4,nm0000007,1,4.061317613089509,Humphrey Bogart,actor,0.61,-0.35391666264735844,0.09234376455578794,0.9397023565103326,0,4,1,18846486.58943529,-0.5564068259579905,1
5,5,5,nm0000008,6,4.600062287515774,Marlon Brando,actor,0.66,1.0537821280337938,0.14057664721625893,1.0149963101682902,7,9,1,112111387.44599849,1.3857676024442958,0
6,6,6,nm0000009,3,3.5906762222222226,Richard Burton,actor,0.56,0.20916285362510245,0.050208051557720006,0.8644084028523754,7,4,1,180994090.99265453,2.8202003221367904,4
7,7,7,nm0000018,4,1.1286761727591037,Kirk Douglas,actor,0.05,0.4907026117613329,-0.1702105718324604,0.09641007554120976,7,9,1,40620306.00475442,-0.10298270939650153,1
8,8,8,nm0000020,1,0.525,Henry Fonda,actor,-0.28,-0.35391666264735844,-0.22425665968775135,-0.40053001860130916,0,5,1,63972488.13703861,0.3833096746426705,1
9,9,9,nm0000022,1,51.508254615384615,Clark Gable,actor,1.71,-0.35391666264735844,4.340186302336032,2.5961693369853958,3,8,1,85336164.68051134,0.8281928611181818,1
10,10,10,nm0000023,1,8.883208138278718,Judy Garland,actress,0.95,-0.35391666264735844,0.5240393170932985,1.451701241384443,6,4,0,60763725.46609743,0.3164895016828745,1
11,11,11,nm0000024,6,3.1862149373737374,John Gielgud,actor,0.5,1.0537821280337938,0.013997329449746207,0.7740556584628264,7,9,1,51989369.85916305,0.13376986193646132,0
12,12,12,nm0000027,7,11.268103175325232,Alec Guinness,actor,1.05,1.3353218861700242,0.7375548615428197,1.6022891487003579,4,0,1,76646148.07532258,0.6472295203760343,0
13,13,13,nm0000030,1,4.268277117647059,Audrey Hepburn,actress,0.63,-0.35391666264735844,0.11087249249063776,0.9698199379735156,0,4,0,167037213.8921904,2.5295584026588123,4
14,14,14,nm0000032,5,5.79597357764411,Charlton Heston,actor,0.76,0.7722423698975633,0.24764452494613357,1.165584217484205,7,9,1,39952284.08699076,-0.11689378499275603,0
15,15,15,nm0000034,4,5.92324981923559,William Holden,actor,0.77,0.4907026117613329,0.2590393476099217,1.1806430082157964,7,4,1,45983683.53804405,0.008705767183157258,1
16,16,16,nm0000037,1,0.7419437007874016,Gene Kelly,actor,-0.13,-0.35391666264735844,-0.20483406386320704,-0.17464815762743693,0,5,1,29182584.227764722,-0.3411650325473453,1
17,17,17,nm0000039,1,0.022070303030303,Deborah Kerr,actress,-1.7,-0.35391666264735844,-0.26928308911137183,-2.5388783024872996,0,2,0,18825412.653086588,-0.5568456755134645,1
18,18,18,nm0000044,1,0.022070303030303,Burt Lancaster,actor,-1.7,-0.35391666264735844,-0.26928308911137183,-2.5388783024872996,0,2,1,18825412.653086588,-0.5568456755134645,1
19,19,19,nm0000046,1,51.508254615384615,Vivien Leigh,actress,1.71,-0.35391666264735844,4.340186302336032,2.5961693369853958,3,8,0,85336164.68051134,0.8281928611181818,1
20,20,20,nm0000047,1,0.2459620625,Sophia Loren,actress,-0.6,-0.35391666264735844,-0.24923844556171892,-0.8824113220122366,0,7,0,113779345.93732436,1.4205016374321384,4
21,21,21,nm0000048,1,4.061317613089509,Peter Lorre,actor,0.61,-0.35391666264735844,0.09234376455578794,0.9397023565103326,0,4,1,18846486.58943529,-0.5564068259579905,1
22,22,22,nm0000051,2,4.4081316625,James Mason,actor,0.64,-0.072376904511128,0.12339342897805487,0.9848787287051072,0,4,1,59128139.59402897,0.2824296031893045,1
23,23,23,nm0000053,2,2.072518990178572,Robert Mitchum,actor,0.32,-0.072376904511128,-0.0857099502513701,0.5029974252941798,0,1,1,79762666.22792885,0.7121287676389715,1
24,24,24,nm0000056,9,7.658830321356422,Paul Newman,actor,0.88,1.8984014024424851,0.4144228802559647,1.3462897062633028,4,0,1,69487001.15390892,0.4981454388808027,0
25,25,25,nm0000059,3,0.7391807188777406,Laurence Olivier,actor,-0.13,0.20916285362510245,-0.20508142887406974,-0.17464815762743693,7,5,1,133976615.45239045,1.8410952371191096,4
26,26,26,nm0000060,3,1.985749847619048,Gregory Peck,actor,0.3,0.20916285362510245,-0.0934782421163062,0.4728798438309968,7,9,1,61235281.03344626,0.3263093069479243,1
27,27,27,nm0000063,4,1.5975034298669468,Anthony Quinn,actor,0.2,0.4907026117613329,-0.12823727510485083,0.322291936515082,7,9,1,108469448.07592806,1.309926836525071,4
