,Unnamed: 0.1,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget,avg_budget_T,cluster
0,0,0,nm0000033,1,0.0221641666666666,Alfred Hitchcock,director,-1.7,-0.5204078941289055,-0.22428903340880424,-2.4156363366347926,1,13897344.04799379,-0.5835068458152848,1
1,1,1,nm0000037,2,0.3793235378937007,Gene Kelly,director,-0.42,-0.09836437166407844,-0.1981833749415269,-0.5385197766678018,1,112207651.21301796,1.458092760005649,2
2,2,2,nm0000040,5,2.143304845934066,Stanley Kubrick,director,0.33,1.1677661957304029,-0.06924963476789836,0.5613532076878568,0,96044489.1514677,1.1224341068566044,2
3,3,3,nm0000076,2,0.0407097452309236,François Truffaut,director,-1.4,-0.09836437166407844,-0.22293349137608856,-1.9756871428925291,1,9734441.619207859,-0.6699573941124632,1
4,4,4,nm0000095,22,1.910097814516701,Woody Allen,director,0.28,8.342506077632464,-0.08629531130561241,0.48802834206414625,3,28636480.019406036,-0.2774207897635547,3
5,5,5,nm0000104,1,0.1337226666666666,Antonio Banderas,director,-0.89,-0.5204078941289055,-0.21613494776878195,-1.2277735135306813,1,27400158.089734666,-0.303095354690383,1
6,6,6,nm0000106,1,0.8695575333333333,Drew Barrymore,director,-0.06,-0.5204078941289055,-0.16235096430078613,-0.0105807441770857,1,21333627.363248315,-0.4290783476954286,1
7,7,7,nm0000108,8,0.8341134512262427,Luc Besson,director,-0.08,2.4338967631248845,-0.16494165959458448,-0.03991069042656994,5,90648522.99178477,1.0103766562971268,3
8,8,8,nm0000110,7,1.266158486854257,Kenneth Branagh,director,0.1,2.011853240660057,-0.1333624234014004,0.22405882581878817,5,82174783.1718454,0.8344034102042475,3
9,9,9,nm0000114,2,0.442548923076923,Steve Buscemi,director,-0.36,-0.09836437166407844,-0.1935620757540388,-0.45052993791934914,1,1649995.3036617269,-0.8378462237485437,1
10,10,10,nm0000115,1,0.00750125,Nicolas Cage,director,-2.0,-0.5204078941289055,-0.22536078211672442,-2.855585530377056,1,6792155.146160849,-0.7310595417591155,1
11,11,11,nm0000116,8,2.93547035057544,James Cameron,director,0.47,2.4338967631248845,-0.011348306174225416,0.7666628314342463,5,232295760.98986462,3.9519496571532136,3
12,12,12,nm0000118,6,1.6495614819444444,John Carpenter,director,0.22,1.5898097181952302,-0.1053385538028808,0.4000385033156935,5,53376404.91318401,0.23635057732608247,3
13,13,13,nm0000122,1,0.1090513333333333,Charles Chaplin,director,-0.96,-0.5204078941289055,-0.21793823631114792,-1.330428325403876,1,32827772.261335094,-0.1903806732614368,1
14,14,14,nm0000123,6,1.4546551119897195,George Clooney,director,0.16,1.5898097181952302,-0.11958474062321903,0.31204866456724084,5,49804813.50201437,0.16217972151787727,3
15,15,15,nm0000126,4,3.1849385651366395,Kevin Costner,director,0.5,0.7457226732655758,0.006885940306280208,0.8106577508084727,0,72360590.25537126,0.6305931184096079,2
16,16,16,nm0000127,7,1.740736387833595,Wes Craven,director,0.24,2.011853240660057,-0.09867435528066054,0.4293684495651777,5,47007906.496438965,0.10409665368130298,3
17,17,17,nm0000128,1,0.1865173777777777,Russell Crowe,director,-0.72,-0.5204078941289055,-0.21227605224992646,-0.9784689704100653,1,29417459.876217064,-0.26120226483164666,1
18,18,18,nm0000134,1,0.7494104375,Robert De Niro,director,-0.12,-0.5204078941289055,-0.17113281157217264,-0.09857058292553837,1,121763937.49221206,1.6565471323225305,2
19,19,19,nm0000142,24,2.293216316979973,Clint Eastwood,director,0.36,9.186593122562119,-0.05829223597417083,0.6053481270620831,3,59730934.966246285,0.3683144214602687,3
20,20,20,nm0000146,1,0.0757195,Ralph Fiennes,director,-1.1,-0.5204078941289055,-0.22037454213758834,-1.5357379491502658,1,13604111.379946956,-0.5895963771855136,1
21,21,21,nm0000149,3,0.8137178413580246,Jodie Foster,director,-0.09,0.3236791508007487,-0.16643242497369887,-0.05457566355131204,0,34316946.48269543,-0.15945515190969795,1
22,22,22,nm0000154,4,4.70834039375,Mel Gibson,director,0.67,0.7457226732655758,0.11823513355179673,1.0599622939290887,0,74062037.89039919,0.6659268989781809,2
23,23,23,nm0000158,2,5.76495395,Tom Hanks,director,0.76,-0.09836437166407844,0.19546562182540242,1.1919470520517677,1,22829186.668731946,-0.3980202279864557,1
24,24,24,nm0000163,1,1.6718288181818182,Dustin Hoffman,director,0.22,-0.5204078941289055,-0.10371097933159697,0.4000385033156935,1,14714378.090404766,-0.5665395874775754,1
25,25,25,nm0000165,14,1.1000723236411207,Ron Howard,director,0.04,4.966157897913847,-0.14550207029932963,0.13606898707033546,7,143272103.90480816,2.1032049176163747,3
26,26,26,nm0000169,1,0.1518743125,Tommy Lee Jones,director,-0.82,-0.5204078941289055,-0.2148081992500016,-1.1251187016574864,1,20919082.578643244,-0.43768715478036807,1
27,27,27,nm0000180,4,5.80806855,David Lean,director,0.76,0.7457226732655758,0.1986169741717974,1.1919470520517677,0,92468067.6530114,1.0481629451437093,2
28,28,28,nm0000184,5,40.03242749130628,George Lucas,director,1.6,1.1677661957304029,2.7001596964410566,2.4238047945301053,6,128844888.43537936,1.803596481178099,2
29,29,29,nm0000186,3,2.1012755777777774,David Lynch,director,0.32,0.3236791508007487,-0.07232165753562866,0.5466882345631147,0,20706261.1382342,-0.44210679480977,1
30,30,30,nm0000200,1,0.61349572,Bill Paxton,director,-0.21,-0.5204078941289055,-0.18106715316187166,-0.2305553410482174,1,39002511.22797415,-0.06215053133769752,1
31,31,31,nm0000209,2,1.8346218238636365,Tim Robbins,director,0.26,-0.09836437166407844,-0.09181203743182073,0.458698395814662,1,40239943.976235054,-0.036452898160347615,1
32,32,32,nm0000217,21,2.1765604051902327,Martin Scorsese,director,0.34,7.920462555167637,-0.06681890400169391,0.5760181808125989,3,87156061.07326333,0.9378490741766764,3
33,33,33,nm0000219,1,0.77180916,Steven Seagal,director,-0.11,-0.5204078941289055,-0.1694956337552237,-0.08390560980079628,1,102622149.06846389,1.2590316649460294,2
34,34,34,nm0000228,1,0.0678758,Kevin Spacey,director,-1.15,-0.5204078941289055,-0.22094785749710502,-1.6090628147739763,1,9692078.395246044,-0.6708371466413264,1
35,35,35,nm0000229,29,4.945169458004275,Steven Spielberg,director,0.69,11.296810734886254,0.13554555339408314,1.0892922401785727,3,114193482.30728118,1.4993323013740758,3
36,36,36,nm0000230,4,2.008660604269995,Sylvester Stallone,director,0.3,0.7457226732655758,-0.07909111414835523,0.5173582883136304,0,71861961.36837846,0.6202381457877991,2
37,37,37,nm0000231,14,2.875164191140341,Oliver Stone,director,0.46,4.966157897913847,-0.015756231958944954,0.7519978583095043,7,74229190.19793983,0.6693981330229917,3
38,38,38,nm0000233,12,2.5692638701305954,Quentin Tarantino,director,0.41,4.1220708529841925,-0.038115240145894284,0.6786729926857937,7,65960104.74876062,0.49767492229997545,3
39,39,39,nm0000243,4,1.59181834,Denzel Washington,director,0.2,0.7457226732655758,-0.10955914232405099,0.3707085570662093,0,25301717.191397917,-0.3466734517834111,1
40,40,40,nm0000247,5,1.1079175493311038,John Woo,director,0.05,1.1677661957304029,-0.14492864342337283,0.15073396019507757,0,157145739.70481175,2.3913172244271452,2
41,41,41,nm0000255,4,1.693998544875278,Ben Affleck,director,0.23,0.7457226732655758,-0.10209053938238324,0.41470347644043565,0,55452198.32944966,0.27945835658772,1
42,42,42,nm0000257,1,7.758099384615384,Alan Alda,director,0.89,-0.5204078941289055,0.34114953266028597,1.3825917026734151,1,21213201.35143104,-0.43157922176801217,1
43,43,43,nm0000264,4,0.785426003997421,Pedro Almodóvar,director,-0.1,0.7457226732655758,-0.16850034507617373,-0.06924063667605418,0,12560311.353465404,-0.6112728603953917,1
44,44,44,nm0000265,7,4.724507873573815,Robert Altman,director,0.67,2.011853240660057,0.11941685448804738,1.0599622939290887,5,31957800.814789798,-0.20844727699364685,3
45,45,45,nm0000269,4,0.7725224425653595,Jean-Jacques Annaud,director,-0.11,0.7457226732655758,-0.1694434981750261,-0.08390560980079628,0,109539803.43186688,1.402689851242019,2
46,46,46,nm0000277,4,1.4321395654690137,Richard Attenborough,director,0.16,0.7457226732655758,-0.12123045739569034,0.31204866456724084,0,80272906.54736808,0.7949073423063499,2
47,47,47,nm0000316,6,16.454676563093468,Mel Brooks,director,1.22,1.5898097181952302,0.9768037866021552,1.866535815789905,5,28029374.210537452,-0.29002849098858624,3
