,Release date,Title,Production budget,Domestic gross,Worldwide gross,year,tconst
330,"Apr 30, 2003",X-Men 2," $125,000,000"," $214,949,694"," $406,348,630",2003,
368,"Jan 25, 2021",Tang Ren Jie Tan An 3," $117,000,000", $0," $625,136,211",2021,
403,"Mar 9, 2016",The Divergent Series: Allegiant," $110,000,000"," $66,184,051"," $172,022,517",2016,
634,"Feb 5, 2020",Birds of Prey (And the Fantabulous Emancipation…," $82,000,000"," $84,158,461"," $201,005,552",2020,
702,"May 12, 2000",Battlefield Earth: A Saga of the Year 3000," $80,000,000"," $21,471,685"," $29,725,663",2000,
735,"Nov 7, 2018",Dr. Seuss’ The Grinch," $75,000,000"," $272,699,130"," $514,873,747",2018,
786,"Aug 7, 2019",PLAYMOBIL," $75,000,000"," $1,115,008"," $16,288,031",2019,
818,"Jun 8, 2018",Ocean’s 8," $70,000,000"," $140,218,711"," $297,718,711",2018,
890,"Mar 1, 2012",Dr. Seuss’ The Lorax," $67,500,000"," $214,151,550"," $351,097,803",2012,
898,"Jun 19, 1998",The X Files: Fight the Future," $66,000,000"," $83,898,313"," $189,176,423",1998,
940,"Nov 11, 2005",Zathura," $65,000,000"," $28,045,540"," $58,545,540",2005,
978,"Feb 7, 2016",Mei Ren Yu," $60,720,000"," $3,229,457"," $525,018,479",2016,
1014,"Oct 28, 2009",Michael Jackson's This Is It," $60,000,000"," $72,091,016"," $261,183,588",2009,
1093,"Feb 4, 2016",The Monkey King 2 (西游记之孙悟空三打白骨精)…," $60,000,000"," $709,982"," $194,058,503",2016,
1111,"Dec 12, 2008","Che, Part 1: The Argentine"," $58,000,000"," $1,802,521"," $31,627,370",2008,
1151,"Apr 28, 2006",R.V.," $55,000,000"," $71,724,497"," $87,473,024",2006,
1224,"Aug 4, 2006",Barnyard: The Original Party Animals," $51,000,000"," $72,779,000"," $118,583,844",2006,
1252,"Aug 9, 2013",Disney Planes," $50,000,000"," $90,282,580"," $238,059,569",2013,
1422,"Nov 5, 2015",Arthur and the War of Two Worlds," $45,500,000"," $347,136"," $36,180,824",2015,
1485,"Dec 16, 2005",The Producers: The Movie Musical," $45,000,000"," $19,398,532"," $32,952,995",2005,
1550,"May 28, 2010",Micmacs," $42,000,000"," $1,259,693"," $18,821,576",2010,
1575,"Jun 9, 2016",The Conjuring 2: The Enfield Poltergeist," $40,000,000"," $102,470,008"," $310,196,332",2016,
1736,"Apr 16, 2013",Un monstre à Paris," $40,000,000", $0," $27,000,219",2013,
1737,"Sep 28, 2012",Solomon Kane," $40,000,000", $0," $22,024,849",2012,
1740,"Apr 10, 2015",Dragon Nest Warriors' Dawn," $40,000,000", $0," $734,423",2015,
1803,"Mar 29, 2013",Tyler Perry’s Temptation," $37,000,000"," $51,975,354"," $53,143,144",2013,
1977,"Aug 14, 2009",Ponyo (崖の上のポニョ)," $34,000,000"," $15,090,399"," $205,162,666",2009,
1982,"May 22, 2014",Thunder and the House of Magic," $34,000,000"," $4,091"," $62,582,520",2014,
1998,"May 12, 2006",Goal! The Dream Begins," $33,000,000"," $4,283,255"," $27,610,873",2006,
1999,"Jul 9, 2015",The Young and Prodigious T.S. Spivet," $33,000,000"," $176,847"," $357,687",2015,
2033,"Apr 21, 2023",Big George Foreman: The Miraculous Story of the…," $32,000,000"," $5,426,772"," $5,703,197",2023,
2064,"Aug 16, 2013",Lee Daniels' The Butler," $30,000,000"," $116,632,095"," $177,025,498",2013,
2077,"Nov 10, 1999",Pokemon: The First Movie," $30,000,000"," $85,744,662"," $163,644,662",1999,
2127,"Jul 21, 2000",Pokemon 2000," $30,000,000"," $43,746,923"," $133,946,923",2000,
2221,"Jul 17, 2019",The Current War: Director’s Cut," $30,000,000"," $5,978,673"," $12,869,755",2019,
2238,"May 26, 2017",Bilal: A New Breed of Hero," $30,000,000"," $490,973"," $648,599",2017,
2242,"Feb 21, 2008",Genghis Khan: To the Ends of the Earth and Sea," $30,000,000"," $3,892"," $4,874,498",2008,
2252,"Nov 28, 2013",Space Pirate Captain Harlock," $30,000,000", $0," $310,985",2013,
2319,"Apr 18, 2003",Winged Migration," $28,000,000"," $11,689,053"," $39,134,983",2003,
2322,"Aug 24, 2001",John Carpenter’s Ghosts of Mars," $28,000,000"," $8,434,601"," $8,434,601",2001,
2359,"Oct 18, 2002",Formula 51," $27,000,000"," $5,204,007"," $5,204,007",2002,
2394,"Jan 27, 1995",Highlander: The Final Dimension," $26,000,000"," $13,738,574"," $13,738,574",1995,
2403,"Aug 24, 1997",The Grimm Brothers' Snow White," $26,000,000"," $5,000"," $5,000",1997,
2576,"Aug 24, 2012",Les petits mouchoirs," $25,000,000"," $205,505"," $48,530,887",2012,
2583,"Oct 4, 2011",La véritable histoire du Chat Botté," $25,000,000", $0," $8,208,594",2011,
2624,"Aug 25, 1995",The Thief and the Cobbler," $24,000,000"," $669,276"," $669,276",1995,
