1929|0.60%
1930|-6.40%
1931|-9.30%
1932|-10.30%
1933|0.80%
1934|1.50%
1935|3.00%
1936|1.40%
1937|2.90%
1938|-2.80%
1939|0.00%
1940|0.70%
1941|9.90%
1942|9.00%
1943|3.00%
1944|2.30%
1945|2.20%
1946|18.10%
1947|8.80%
1948|3.00%
1949|-2.10%
1950|5.90%
1951|6.00%
1952|0.80%
1953|0.70%
1954|-0.70%
1955|0.40%
1956|3.00%
1957|2.90%
1958|1.80%
1959|1.70%
1960|1.40%
1961|0.70%
1962|1.30%
1963|1.60%
1964|1.00%
1965|1.90%
1966|3.50%
1967|3.00%
1968|4.70%
1969|6.20%
1970|5.60%
1971|3.30%
1972|3.40%
1973|8.70%
1974|12.30%
1975|6.90%
1976|4.90%
1977|6.70%
1978|9.00%
1979|13.30%
1980|12.50%
1981|8.90%
1982|3.80%
1983|3.80%
1984|3.90%
1985|3.80%
1986|1.10%
1987|4.40%
1988|4.40%
1989|4.60%
1990|6.10%
1991|3.10%
1992|2.90%
1993|2.70%
1994|2.70%
1995|2.50%
1996|3.30%
1997|1.70%
1998|1.60%
1999|2.70%
2000|3.40%
2001|1.60%
2002|2.40%
2003|1.90%
2004|3.30%
2005|3.40%
2006|2.50%
2007|4.10%
2008|0.10%
2009|2.70%
2010|1.50%
2011|3.00%
2012|1.70%
2013|1.50%
2014|0.80%
2015|0.70%
2016|2.10%
2017|2.10%
2018|1.90%
2019|2.30%
2020|1.40%
2021|7.00%
2022|6.50%
2023|3.40%
