Release date,Title,Production budget,Domestic gross,Worldwide gross,year,tconst
"May 24, 2023",The Little Mermaid," $250,000,000"," $298,172,056"," $569,626,289",2023,tt27722894
"May 24, 2023",The Little Mermaid," $250,000,000"," $298,172,056"," $569,626,289",2023,tt27834173
"May 24, 2023",The Little Mermaid," $250,000,000"," $298,172,056"," $569,626,289",2023,tt5971474
"Nov 22, 2023",Wish," $200,000,000"," $63,973,821"," $240,361,144",2023,tt11304740
"Nov 22, 2023",Wish," $200,000,000"," $63,973,821"," $240,361,144",2023,tt21973570
"Oct 27, 2017",Coco," $175,000,000"," $210,460,015"," $796,401,721",2017,tt2380307
"Oct 27, 2017",Coco," $175,000,000"," $210,460,015"," $796,401,721",2017,tt7002100
"Dec 15, 2016",The Great Wall," $150,000,000"," $45,157,105"," $334,486,852",2016,tt2034800
"Dec 15, 2016",The Great Wall," $150,000,000"," $45,157,105"," $334,486,852",2016,tt7535780
"Dec 23, 2022",Babylon," $110,000,000"," $16,596,054"," $64,470,244",2022,tt10640346
"Dec 23, 2022",Babylon," $110,000,000"," $16,596,054"," $64,470,244",2022,tt14661820
"Jun 21, 1996",The Hunchback of Notre Dame," $100,000,000"," $100,138,851"," $325,500,000",1996,tt0116583
"Jun 21, 1996",The Hunchback of Notre Dame," $100,000,000"," $100,138,851"," $325,500,000",1996,tt9799878
"Apr 21, 2017",The Promise," $90,000,000"," $8,224,288"," $10,551,417",2017,tt4192918
"Apr 21, 2017",The Promise," $90,000,000"," $8,224,288"," $10,551,417",2017,tt6825024
"Apr 21, 2017",The Promise," $90,000,000"," $8,224,288"," $10,551,417",2017,tt7232438
"Jul 29, 2015",The Little Prince," $77,500,000"," $1,311,213"," $102,027,275",2015,tt1754656
"Jul 29, 2015",The Little Prince," $77,500,000"," $1,311,213"," $102,027,275",2015,tt3848668
"Jul 29, 2015",The Little Prince," $77,500,000"," $1,311,213"," $102,027,275",2015,tt5317732
"Mar 11, 2005",Hostage," $75,000,000"," $34,636,443"," $77,636,443",2005,tt0340163
"Mar 11, 2005",Hostage," $75,000,000"," $34,636,443"," $77,636,443",2005,tt0465552
"Oct 23, 1998",Soldier," $75,000,000"," $14,623,082"," $14,623,082",1998,tt0120157
"Oct 23, 1998",Soldier," $75,000,000"," $14,623,082"," $14,623,082",1998,tt0211634
"Sep 29, 2006",The Guardian," $70,000,000"," $55,011,732"," $94,973,540",2006,tt0406816
"Sep 29, 2006",The Guardian," $70,000,000"," $55,011,732"," $94,973,540",2006,tt0462326
"Jun 30, 1995",Apollo 13," $65,000,000"," $173,772,767"," $335,802,271",1995,tt0112384
"Jun 30, 1995",Apollo 13," $65,000,000"," $173,772,767"," $335,802,271",1995,tt6590506
"Nov 26, 2003",The Missing," $65,000,000"," $26,900,336"," $38,253,433",2003,tt0338188
"Nov 26, 2003",The Missing," $65,000,000"," $26,900,336"," $38,253,433",2003,tt0384344
"Feb 18, 2020",Monster Hunter," $60,000,000"," $15,162,470"," $47,853,893",2020,tt13612186
"Feb 18, 2020",Monster Hunter," $60,000,000"," $15,162,470"," $47,853,893",2020,tt6475714
