,Unnamed: 0,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans,avg_budget
0,0,nm0000040,4,2.6409925157509155,Stanley Kubrick,writer,0.42,1.1500703752407182,0.0403174383791932,0.7443133881964544,3,31125000.0
1,1,nm0000041,2,0.6542637906301825,Akira Kurosawa,writer,-0.19,0.0873272594719005,-0.2180695825203699,-0.2117843495402561,1,78500000.0
2,2,nm0000076,3,0.9752351634872825,François Truffaut,writer,-0.01,0.6186988173563094,-0.1763251632758407,0.0703428517591011,3,3115666.6666666665
3,3,nm0000092,2,3.896206388888889,John Cleese,writer,0.59,0.0873272594719005,0.2035661845069332,1.0107668560902918,1,67700000.0
4,4,nm0000095,22,1.910097814516701,Woody Allen,writer,0.28,10.714758417160075,-0.0547401817454205,0.5248811205191767,5,16113636.363636363
5,5,nm0000100,1,1.33208668,Rowan Atkinson,writer,0.12,-0.4440442984125082,-0.129914297469484,0.2741013860308591,1,25000000.0
6,6,nm0000101,3,1.6593997074074072,Dan Aykroyd,writer,0.22,0.6186988173563094,-0.0873451047135493,0.4308387200860575,3,67333333.33333333
7,7,nm0000108,23,1.194991261336304,Luc Besson,writer,0.08,11.246129975044486,-0.1477444503029254,0.2114064524087797,5,41491304.347826086
8,8,nm0000110,2,1.973839125,Kenneth Branagh,writer,0.29,0.0873272594719005,-0.0464502088287543,0.5405548539246964,1,8500000.0
9,9,nm0000114,1,0.5767238461538462,Steve Buscemi,writer,-0.24,-0.4440442984125082,-0.2281541577321873,-0.2901530165678553,1,1300000.0
10,10,nm0000116,12,2.360236004830941,James Cameron,writer,0.37,5.4010428383159885,0.003803224064222,0.6659447211688552,5,145366666.66666666
11,11,nm0000117,1,0.1522609333333333,Neve Campbell,writer,-0.82,-0.4440442984125082,-0.2833583263432686,-1.1992295540880062,1,15000000.0
12,12,nm0000118,10,3.3751969183333337,John Carpenter,writer,0.53,4.338299722547171,0.1358055067379401,0.9167244556571728,0,15850000.0
13,13,nm0000120,1,6.018116333333333,Jim Carrey,writer,0.78,-0.4440442984125082,0.4795344041383474,1.308567790795169,6,12000000.0
14,14,nm0000122,1,0.1090513333333333,Charles Chaplin,writer,-0.96,-0.4440442984125082,-0.288978016478661,-1.4186618217652842,1,1500000.0
15,15,nm0000123,4,1.908752607639752,George Clooney,writer,0.28,1.1500703752407182,-0.0549151346683001,0.5248811205191767,3,31250000.0
16,16,nm0000126,1,0.58071404,Kevin Costner,writer,-0.24,-0.4440442984125082,-0.2276352070130061,-0.2901530165678553,1,50000000.0
17,17,nm0000127,10,4.215334867476953,Wes Craven,writer,0.63,4.338299722547171,0.2450709233391405,1.0734617897123713,0,13450000.0
18,18,nm0000129,1,1.37784555,Tom Cruise,writer,0.14,-0.4440442984125082,-0.1239630581535518,0.3054488528418987,1,60000000.0
19,19,nm0000131,3,1.0982445055555556,John Cusack,writer,0.04,0.6186988173563094,-0.1603269965216428,0.1487115187867003,3,15000000.0
20,20,nm0000154,2,8.0514915375,Mel Gibson,writer,0.91,0.0873272594719005,0.7439881036960151,1.512326325066927,6,32500000.0
21,21,nm0000158,2,5.76495395,Tom Hanks,writer,0.76,0.0873272594719005,0.4466089859842619,1.277220323984129,6,16250000.0
22,22,nm0000160,2,2.807600083333333,Ethan Hawke,writer,0.45,0.0873272594719005,0.061985838550096,0.7913345884130141,1,2500000.0
23,23,nm0000169,1,0.1518743125,Tommy Lee Jones,writer,-0.82,-0.4440442984125082,-0.2834086089027743,-1.1992295540880062,1,16000000.0
24,24,nm0000175,20,2.4382537811606357,Stephen King,writer,0.39,9.65201530139126,0.0139499444232449,0.6972921879798949,5,27100000.0
25,25,nm0000180,1,0.9886419272727272,David Lean,writer,-0.0,-0.4440442984125082,-0.174581526255535,0.0860165851646209,1,27500000.0
26,26,nm0000184,14,18.00397073083294,George Lucas,writer,1.26,6.463785954084806,2.0383728965538883,2.060906994260121,5,129919785.71428572
