,nconst,nof_films,avg_profit,primaryName,category,log_avg_profit,nof_films_T,avg_profit_T,log_avg_profit_T,kmeans
0,nm0000040,4,2.6409925157509155,Stanley Kubrick,writer,0.42,1.1500703752407182,0.04031743837919326,0.7443133881964544,3
1,nm0000041,2,0.6542637906301825,Akira Kurosawa,writer,-0.19,0.08732725947190056,-0.21806958252036998,-0.21178434954025613,1
2,nm0000076,3,0.9752351634872825,François Truffaut,writer,-0.01,0.6186988173563094,-0.17632516327584075,0.0703428517591011,3
3,nm0000092,2,3.8962063888888885,John Cleese,writer,0.59,0.08732725947190056,0.20356618450693328,1.0107668560902918,1
4,nm0000095,22,1.9100978145167011,Woody Allen,writer,0.28,10.714758417160077,-0.054740181745420585,0.5248811205191767,5
5,nm0000100,1,1.33208668,Rowan Atkinson,writer,0.12,-0.44404429841250825,-0.12991429746948407,0.2741013860308591,1
6,nm0000101,3,1.6593997074074072,Dan Aykroyd,writer,0.22,0.6186988173563094,-0.08734510471354931,0.43083872008605756,3
7,nm0000108,23,1.194991261336304,Luc Besson,writer,0.08,11.246129975044486,-0.14774445030292543,0.21140645240877973,5
8,nm0000110,2,1.973839125,Kenneth Branagh,writer,0.29,0.08732725947190056,-0.04645020882875436,0.5405548539246964,1
9,nm0000114,1,0.5767238461538462,Steve Buscemi,writer,-0.24,-0.44404429841250825,-0.22815415773218736,-0.29015301656785536,1
10,nm0000116,12,2.360236004830941,James Cameron,writer,0.37,5.4010428383159885,0.003803224064222071,0.6659447211688552,5
11,nm0000117,1,0.15226093333333332,Neve Campbell,writer,-0.82,-0.44404429841250825,-0.2833583263432686,-1.1992295540880062,1
12,nm0000118,10,3.3751969183333337,John Carpenter,writer,0.53,4.338299722547171,0.13580550673794015,0.9167244556571728,0
13,nm0000120,1,6.018116333333333,Jim Carrey,writer,0.78,-0.44404429841250825,0.4795344041383474,1.308567790795169,6
14,nm0000122,1,0.10905133333333333,Charles Chaplin,writer,-0.96,-0.44404429841250825,-0.288978016478661,-1.4186618217652842,1
15,nm0000123,4,1.9087526076397516,George Clooney,writer,0.28,1.1500703752407182,-0.054915134668300114,0.5248811205191767,3
16,nm0000126,1,0.58071404,Kevin Costner,writer,-0.24,-0.44404429841250825,-0.2276352070130061,-0.29015301656785536,1
17,nm0000127,10,4.215334867476953,Wes Craven,writer,0.63,4.338299722547171,0.2450709233391405,1.0734617897123713,0
18,nm0000129,1,1.37784555,Tom Cruise,writer,0.14,-0.44404429841250825,-0.12396305815355187,0.30544885284189877,1
